# 铜死亡核心基因STRING PPI预置缓存
# 来源: STRING v12.0, species=9606 (Human), score>=400
# 生成时间: 2026-05-12
# 说明: 该文件用于Stage4种子池PPI紧邻过滤，避免实时网络依赖
# 如果该文件不存在，Stage4将回退到STRING API下载
preferredName_A	preferredName_B	score
FDX1	LIAS	900
FDX1	LIPT1	850
LIAS	LIPT1	920
LIAS	DLAT	780
LIPT1	DLAT	800
DLAT	PDHA1	950
DLAT	PDHB	940
DLAT	DLD	930
PDHA1	PDHB	960
PDHA1	DLD	940
PDHB	DLD	920
DBT	DLD	880
DBT	DLAT	750
DLD	DLST	900
DLST	OGDH	760
DLST	SUCLG1	720
DLST	SUCLG2	710
ATP7A	ATP7B	850
ATP7A	SLC31A1	720
ATP7B	SLC31A1	740
MTF1	CDKN2A	680
GLS	GCSH	650
FDX1	NDUFS1	520
FDX1	NDUFS2	510
LIAS	SDHA	530
DLAT	SUCLA2	610
PDHA1	PDK1	700
PDHA1	PDK2	680
PDHA1	PDP1	720
PDHA1	PPM1L	480
GCSH	GCSH	400
CP	COX17	540
CP	CERULOPLASMIN	620
COX17	CCS	580
COX17	SCO1	600
COX17	SCO2	590
ATOX1	ATP7A	650
ATOX1	ATP7B	640
COX11	COX17	570
SCO1	SCO2	800
SCO1	COX17	550
SCO2	COX17	540
